zip,Y,X,STATE_ZIP,REGION_ZIP,
1522,42.37458,-71.866788,MA,Northeast,
1523,42.477605,-71.684044,MA,Northeast,
1524,42.232557,-71.91828,MA,Northeast,
1525,42.098419,-71.643912,MA,Northeast,
1526,42.089553,-71.746666,MA,Northeast,
1527,42.197286,-71.770146,MA,Northeast,
1529,42.023722,-71.58381,MA,Northeast,
1531,42.321017,-72.142586,MA,Northeast,
1532,42.316146,-71.648168,MA,Northeast,
1534,42.143607,-71.654859,MA,Northeast,
1535,42.267155,-72.075987,MA,Northeast,
1536,42.229493,-71.703587,MA,Northeast,
1537,42.167512,-71.8889,MA,Northeast,
1538,42.090256,-71.639891,MA,Northeast,
1540,42.112676,-71.870984,MA,Northeast,
1541,42.450061,-71.884655,MA,Northeast,
1542,42.198886,-71.905902,MA,Northeast,
1543,42.374268,-71.95045,MA,Northeast,
1545,42.286758,-71.72154,MA,Northeast,
1546,42.29182,-71.745989,MA,Northeast,
1550,42.077174,-72.032139,MA,Northeast,
1560,42.177849,-71.693325,MA,Northeast,
1561,42.44104,-71.689995,MA,Northeast,
1562,42.248647,-71.995246,MA,Northeast,
1564,42.429747,-71.77566,MA,Northeast,
1566,42.110485,-72.076312,MA,Northeast,
1568,42.171445,-71.604409,MA,Northeast,
1569,42.07843,-71.634079,MA,Northeast,
1570,42.052997,-71.87971,MA,Northeast,
1571,42.057246,-71.912522,MA,Northeast,
1580,42.279943,-71.602289,MA,Northeast,
1581,42.26661,-71.617194,MA,Northeast,
1582,42.172651,-71.615591,MA,Northeast,
1583,42.360502,-71.787608,MA,Northeast,
1585,42.235246,-72.146449,MA,Northeast,
1586,42.12631,-71.646126,MA,Northeast,
1588,42.122324,-71.671383,MA,Northeast,
1590,42.138424,-71.752496,MA,Northeast,
1601,42.271095,-71.809743,MA,Northeast,
1602,42.27018,-71.845149,MA,Northeast,
1603,42.240138,-71.83701,MA,Northeast,
1604,42.254072,-71.773068,MA,Northeast,
1605,42.286159,-71.795924,MA,Northeast,
1606,42.31095,-71.801404,MA,Northeast,
1607,42.22725,-71.793758,MA,Northeast,
1608,42.261746,-71.802267,MA,Northeast,
1609,42.276415,-71.819491,MA,Northeast,
1610,42.249011,-71.807956,MA,Northeast,
1611,42.242998,-71.873372,MA,Northeast,
1612,42.30158,-71.909525,MA,Northeast,
1613,42.265737,-71.796527,MA,Northeast,
1614,42.260921,-71.79949,MA,Northeast,
